trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.88}",30,0,-197.78084119643142,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.7744}",25,0,-69.17481646939186,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.681472}",35,0,-116.57628409198003,"{0: 20, 1: 7, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.59969536}",35,0,-264.3274884374007,"{0: 13, 1: 7, 2: 11, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.5277319168}",25,0,-103.79929671641904,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.46440408678399997}",20,0,-182.45606443138848,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.40867559636991996}",25,0,-158.8659257801039,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.35963452480552954}",30,0,-202.41160864545844,"{0: 13, 1: 7, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.316478381828866}",20,10,-47.405869510238915,"{0: 4, 1: 2, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.2785009760094021}",30,0,-310.9150707778408,"{0: 11, 1: 5, 2: 6, 3: 4, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.24508085888827386}",20,0,-105.7433253482119,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.215671155821681}",20,6,-38.86529670847891,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.1897906171230793}",20,0,-94.12462884124953,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.16701574306830977}",30,0,-94.63339299408068,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.1469738539001126}",20,0,-128.89122229778468,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.1293369914320991}",25,0,-144.26461016603096,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1138165524602472}",20,0,-188.55520766470656,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.10015856616501755}",20,0,-88.74716482357633,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.08813953822521545}",20,0,-108.31322998059319,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.07756279363818959}",20,0,-126.61614764732613,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-155.24462612784163,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,-205.5544445679435,"{0: 16, 1: 6, 2: 3, 3: 2, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-94.5809414797712,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-222.10971997456048,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",25,0,-100.13529583437904,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-9.518199122214238,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-127.98576160999764,"{0: 9, 1: 5, 2: 10, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-86.00799123736604,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-62.04901475382745,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-131.17818078928138,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
