trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-57.02845981441747,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-117.95805807569786,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-67.06836526376917,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,8,-154.6491080164755,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-83.43940512678051,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-141.84003806715023,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-108.3971728199454,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-93.68345686003038,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-60.82400279911944,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-153.2788691407434,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,5,5.183222256007303,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-98.41311632522039,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-38.15877705094275,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-26.422946061900475,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-90.73441779280647,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-132.83838051201832,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,8,-34.80194937567921,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-69.76042694282602,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-30.205931133360714,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,0.5104048835626445,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,6,10.803338910772071,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-63.804657618329024,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,8,-1.4636308485770368,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-6.418130818605988,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-25.982984300056007,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-75.95224114165404,"{0: 18, 1: 0, 2: 4, 3: 3, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-74.96784225202161,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,22.794448501961067,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,4,5.502013506072067,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,10.759580633037569,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
