trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.07320277497896,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9999995}",35,0,-149.00153532211374,"{0: 20, 1: 4, 2: 8, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.999998}",30,0,-271.67295047781204,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.9999955}",25,0,-28.342061724049767,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.999992}",20,0,-97.87360867007406,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999875}",25,0,-116.5938354967816,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.999982}",25,0,-119.04736872258674,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999755}",20,0,-223.67778407498668,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.999968}",20,10,-55.725363734555636,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9999595}",20,0,-137.63230681643935,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.99995}",30,0,-83.39933181525504,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999395}",20,0,-124.91037504784303,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.999928}",20,0,-114.75173107676933,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9999155}",20,0,-110.55441102998745,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.999902}",30,0,-221.67753890005673,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.9998875}",20,0,-55.703406624752326,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.999872}",20,0,-103.66439718325185,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9998555}",25,0,-65.7545381322517,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.999838}",25,0,-60.437514934990574,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9998195}",25,0,-143.47036738998193,"{0: 16, 1: 0, 2: 4, 3: 4, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9998}",30,0,-122.63694792154338,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9997795}",25,0,-181.19280755744376,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.999758}",20,12,-73.3443521135198,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.9997355}",20,0,-35.259646047919304,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.999712}",20,0,-189.02944580438938,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9996875}",25,0,-104.2674391086916,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.999662}",30,0,-161.14848791590506,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9996355}",20,0,-114.03086509723033,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.999608}",30,0,-155.4267965797866,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9995795}",20,0,-33.667380838329535,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.99955}",25,0,-187.78553529116294,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9995195}",20,0,-64.41855377102502,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.999488}",30,0,-239.30725163106942,"{0: 14, 1: 1, 2: 11, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9994555}",30,0,-110.22516114495814,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.999422}",25,0,-52.138242542503654,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9993875}",25,0,-228.3902037733611,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.999352}",35,0,-90.06473108327185,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9993155}",25,0,-155.39064265940056,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.999278}",25,10,-67.98353744753378,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.9992395}",20,16,8.908014203335773,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.9992}",25,0,-95.58724351502822,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9991595}",25,0,-165.5142772739616,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
